"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,7102.30607889567,1796.27237138535,132650.842687758,0.91,0.005
1,6994.48029452235,1384.7870563496,140242.330954319,0.941,0.005
2,7065.89101160484,1340.14059665617,143143.760373717,0.932,0.005
3,7134.2790591658,1324.38304893321,145247.400255815,0.944,0.005
4,7014.38123102933,1315.25303003928,142478.205024751,0.937,0.005
5,6916.7815917487,1309.32829564397,140186.332402618,0.929,0.005
6,6953.03158736292,1303.17917514314,141246.310305494,0.937,0.005
7,6947.54611410658,1301.84943732985,141142.416919418,0.955,0.005
8,6936.25507312698,1309.86778005066,140659.682326908,0.942,0.005
9,7021.75002852505,1301.47223169966,143006.944920635,0.95,0.005
10,7100.00331847395,1298.75032724434,145031.32478074,0.957,0.005
11,6920.56649912306,1314.23648627718,140158.250321147,0.963,0.005
12,7009.33414326808,1300.63099069598,142717.578814302,0.968,0.005
13,6978.19848931565,1294.44955391212,142093.723385088,0.961,0.005
14,6882.17536087195,1301.20003514677,139524.383143129,0.959,0.005
15,6930.64290088558,1292.91300529125,140943.247389858,0.976,0.005
16,6841.4532717606,1294.12637283127,138683.172473233,0.98,0.005
17,7208.76476789428,1284.00203468634,148119.068330198,0.984,0.005
18,7071.11118541163,1288.06254311251,144576.216057478,0.988,0.005
19,6982.03314337531,1279.58137570849,142561.29419167,0.99,0.005
20,7030.03707418305,1279.76595579327,143756.777959745,0.991,0.005
21,7004.25311505822,1277.24638491689,143175.168253533,0.997,0.005
22,7033.3659813548,1274.50122647498,143971.618871995,0.991,0.005
23,7043.22463094403,1275.60054095787,144190.602249654,0.992,0.005
24,6965.51556882154,1273.29736826568,142305.455013896,0.995,0.005
25,6897.44330212603,1269.53954571585,140697.593910255,0.989,0.005
26,6989.94101954607,1270.17814359356,142994.071898813,0.987,0.005
27,7136.32014081432,1274.43919079132,146547.023750575,0.978,0.005
28,6819.81018122409,1271.2820804771,138713.202518675,0.981,0.005
29,6929.62850612117,1269.81615348355,141495.308815941,0.972,0.005
30,7156.62839122918,1268.11356703283,147212.870604909,0.967,0.005
31,7282.64724365014,1269.93132004381,150317.898090158,0.958,0.005
32,7022.38959493024,1270.77283544635,143790.418987097,0.94,0.005
33,6938.10243909627,1270.49132811871,141690.277774439,0.954,0.005
34,6828.95896759298,1268.94048266798,139000.462123125,0.934,0.005
35,6792.92145706533,1273.10353868116,137995.447959604,0.935,0.005
36,6870.60306798244,1268.61455178016,140049.712905057,0.919,0.005
37,6888.02825504196,1254.6965719203,140833.292078042,0.909,0.005
38,6936.33363808737,1258.44360963205,141947.250711383,0.899,0.005
39,6857.25723326113,1250.48885242769,140169.209520836,0.9,0.005
40,6925.61153043906,1252.22544867517,141834.652044097,0.884,0.005
41,7065.59893759813,1249.8216035762,145394.433350548,0.88,0.005
42,6954.24620160937,1251.36966997349,142571.913290897,0.863,0.005
43,6953.26875159236,1247.65160641212,142640.428629506,0.861,0.005
44,6942.84089347816,1259.8581735735,142074.567997617,0.846,0.005
45,6883.53114463585,1246.79828307833,140918.321538938,0.815,0.005
46,7059.6636270652,1247.38506065155,145306.964160341,0.822,0.005
47,6772.69025617334,1255.94709226649,137918.579097671,0.811,0.005
48,6779.49091395641,1243.09542448683,138409.887236739,0.79,0.005
49,6987.71290791719,1243.60332693278,143602.73952461,0.768,0.005
50,6961.66957771054,1241.07392990112,143014.891195235,0.774,0.005
51,6957.93518459501,1239.77756263961,142953.940548885,0.745,0.005
52,7007.33915877864,1239.48257445132,144196.414608183,0.746,0.005
53,6855.4724234856,1234.70295984294,140519.236591066,0.714,0.005
54,6981.7263926621,1238.40861628561,143582.944409412,0.68,0.005
55,6807.24152391839,1227.27386040533,139499.191587826,0.668,0.005
56,6853.85292216173,1225.74979708064,140702.578127027,0.66,0.005
57,6878.63062870638,1226.27014968141,141309.011975624,0.633,0.005
58,6912.3648991964,1228.52651227928,142095.959672928,0.613,0.005
59,6918.71544260602,1222.68958365485,142400.646473779,0.612,0.005
60,6905.40309883197,1221.07665034496,142108.161212175,0.581,0.005
61,6781.24003156109,1228.71543338302,138813.114954452,0.572,0.005
62,6867.41512206611,1224.63947885356,141069.391080314,0.541,0.005
63,6795.07103937424,1221.93606767205,139328.374292555,0.521,0.005
64,6888.932553017,1226.22191855427,141567.765861568,0.521,0.005
65,6768.27256830079,1222.52190337205,138643.766623218,0.527,0.005
66,6748.21104891218,1221.26828985477,138173.568976435,0.506,0.005
