"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,14998.819006343,1796.27237138535,132025.466349576,0.908,0.003
1,14264.299216915,1953.50477663085,123107.944402842,0.906,0.003
2,14674.3170690307,1923.71492075966,127506.021482711,0.896,0.003
3,14701.77918891,1918.73262971993,127830.4655919,0.875,0.003
4,14860.645491462,1889.32621101105,129713.19280451,0.866,0.003
5,14606.801431893,1909.5484883238,126972.529435692,0.866,0.003
6,14305.7693200249,1896.05801691785,124097.113031071,0.826,0.003
7,14221.7062785733,1867.84979774211,123538.564808311,0.812,0.003
8,14435.0961906825,1889.41461285629,125456.815778262,0.802,0.003
9,14200.36796222,1886.00434587941,123143.636163406,0.781,0.003
10,14369.320189493,1899.26939523594,124700.50794257,0.736,0.003
11,14214.1053836594,1909.93086545907,123041.745182004,0.752,0.003
12,14365.9312985205,1907.43489383446,124584.96404686,0.717,0.003
13,14556.1013088489,1896.01873527894,126600.8257357,0.711,0.003
14,14387.5726389874,1884.32726552588,125032.453734615,0.691,0.003
15,14262.6525890481,1946.72016495494,123159.324240932,0.645,0.003
16,14527.4725123171,1891.71274282268,126357.597694944,0.598,0.003
17,14335.2264448299,1878.53904259083,124566.874022391,0.616,0.003
18,15223.8625850767,1895.12381725599,133287.387678207,0.549,0.003
19,14480.516840214,1867.34362313162,126131.732170824,0.518,0.003
20,14396.7872081477,2000.79664236458,123959.905657831,0.489,0.003
21,14324.928034059,1899.30460553118,124256.234285278,0.461,0.003
22,14409.4417619798,1922.59902921309,124868.427327667,0.427,0.003
23,13983.8505561355,1908.0475524985,120758.03003637,0.385,0.003
24,14208.9393117097,1948.41097719963,122605.2833451,0.348,0.003
25,14147.991251675,1916.14471001988,122318.465416551,0.326,0.003
26,14066.4402483594,1952.01185266525,121144.283956942,0.282,0.003
27,14544.3092804922,1969.28111613888,125750.281643533,0.255,0.003
28,13950.6874087923,1929.94921052537,120207.381982669,0.267,0.003
29,14111.2916405276,1925.14353777855,121861.48102749,0.215,0.003
30,14045.0693478464,1941.63185895392,121034.374888925,0.179,0.003
31,14240.9749165506,1954.70097230318,122862.739442474,0.156,0.003
32,14013.6325447896,1982.14964062817,120314.829041614,0.145,0.003
33,13880.2857409299,1976.81695182985,119034.687891,0.122,0.003
34,14613.1621628779,1958.61306839333,126545.490944846,0.096,0.003
35,13840.2178765848,2047.43862949539,117927.792470894,0.083,0.003
36,13992.781151372,1998.79725936472,119939.838920073,0.048,0.003
37,14103.212252443,1993.99640574721,121092.158466958,0.053,0.003
38,14078.8113892125,2019.1447389709,120596.666502416,0.035,0.003
39,13876.1016880918,2039.51675570059,118365.849323912,0.032,0.003
40,14929.4193413767,2032.51348562406,128969.058557527,0.02,0.003
41,13807.4584855243,2058.20042778486,117492.580577394,0.02,0.003
42,13699.1270582429,2097.96554452248,116011.615137204,0.016,0.003
43,13621.5950973077,2125.70279331516,114958.923039926,0.009,0.003
44,13787.6265482219,2133.3308799031,116542.956683188,0.011,0.003
45,13538.7225020191,2143.71480483601,113950.076971831,0.011,0.003
46,13734.7688687381,2168.65790351553,115661.109652226,0.003,0.003
