"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,12682.8256032987,1796.27237138535,136081.915398917,0.914,0.008
1,12109.306558614,1732.90392915831,129705.032868196,0.908,0.008
2,12248.7832702404,1679.15069588671,132120.407179421,0.89,0.008
3,12052.1479488864,1684.00957266883,129601.729702719,0.909,0.008
4,12115.6611662135,1652.05220590296,130795.112003881,0.896,0.008
5,12432.0494928476,1666.22119039238,134572.85378069,0.87,0.008
6,11903.2832469677,1631.38182728008,128398.767746096,0.886,0.008
7,12164.2277668877,1648.42785258522,131447.498928781,0.884,0.008
8,12045.3208686339,1630.50934825951,130185.14400468,0.882,0.008
9,12134.8971140049,1655.835615314,130988.268733636,0.863,0.008
10,12167.2486119686,1654.73836923928,131406.378034117,0.871,0.008
11,12087.0380867202,1628.37741740385,130733.258366454,0.848,0.008
12,11845.8805805262,1635.35683752902,127631.546787464,0.845,0.008
13,12634.7077132316,1661.55544822518,137164.403312581,0.84,0.008
14,12110.0896764441,1650.5885135287,130743.764536442,0.827,0.008
15,12133.6575739323,1652.70936325858,131011.852633421,0.828,0.008
16,12151.895429375,1641.96843293421,131374.08745551,0.828,0.008
17,12149.2694450888,1647.22760094091,131275.523051849,0.785,0.008
18,11994.2618318665,1639.58204742313,129433.497305542,0.822,0.008
19,12158.7458174142,1656.04438482913,131283.767907313,0.783,0.008
20,12038.7127255297,1668.89724691009,129622.693482745,0.784,0.008
21,12167.2646686379,1658.11341182852,131364.390710117,0.774,0.008
22,11874.9037010389,1648.81968510681,127826.050199151,0.726,0.008
23,12059.3502848204,1657.07487148584,130028.442666682,0.735,0.008
24,11976.943598411,1657.82681847139,128988.959749245,0.695,0.008
25,11793.9926424629,1662.34308316803,126645.619491185,0.712,0.008
26,11902.8797648255,1655.79276318369,128088.587520523,0.721,0.008
27,11963.9132463063,1638.77482293832,129064.2302921,0.676,0.008
28,11876.5019036812,1659.55783789322,127711.800822349,0.647,0.008
29,12192.1019157466,1631.04427195113,132013.220547444,0.634,0.008
30,12133.4387590887,1653.21086838694,131002.848633772,0.627,0.008
31,12087.0544868972,1666.27272917997,130259.771971466,0.617,0.008
32,12241.4409260128,1670.54548791969,132136.192976164,0.592,0.008
33,11950.7198970932,1656.04885557897,128683.388018928,0.602,0.008
34,11773.2110264652,1668.86950855033,126304.268973935,0.564,0.008
35,12394.0391872874,1666.94308283985,134088.701305595,0.525,0.008
36,11952.702060164,1651.31203648325,128767.37529601,0.527,0.008
37,12207.0173494981,1661.28166762704,131821.696023388,0.5,0.008
38,11961.5088629463,1698.99369340553,128281.43961926,0.503,0.008
39,12131.614461488,1672.79799803196,130735.2057932,0.454,0.008
40,12045.0324934929,1670.26582665381,129684.583335489,0.45,0.008
41,12073.1216658346,1674.19584548247,129986.572754402,0.453,0.008
42,12046.6145576334,1663.88915332325,129784.067553877,0.439,0.008
43,11789.6613189238,1674.13347758852,126444.098016691,0.378,0.008
44,12079.9176583515,1688.35872998919,129894.486604529,0.394,0.008
45,12002.3916462231,1691.79607153069,128882.444683655,0.353,0.008
46,11838.0139206427,1688.12858174224,126873.566736255,0.341,0.008
47,12154.5082105056,1673.3457616552,131014.53061063,0.327,0.008
48,11910.3926464604,1691.08396029774,127741.358577033,0.319,0.008
49,12027.6075861088,1686.68860379428,129261.487278932,0.287,0.008
50,12112.3418614867,1710.28511118022,130025.709378832,0.31,0.008
51,12311.7740598806,1711.47894612445,132503.688921952,0.264,0.008
52,11994.9503088536,1734.24896227706,128258.766832206,0.242,0.008
53,11933.3306037383,1702.51081680326,127885.247336688,0.231,0.008
54,11749.8203647982,1716.48207100132,125416.728672461,0.207,0.008
55,11948.0378097473,1714.34485755656,127921.161902385,0.201,0.008
56,11910.675451187,1708.47546013772,127527.499888116,0.191,0.008
57,11950.1911862987,1722.46930218118,127846.523551469,0.188,0.008
58,11715.1240302233,1728.40150289593,124834.031591592,0.169,0.008
59,11693.3667481306,1717.41174847635,124699.437495679,0.166,0.008
