"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,29.9335476593778,20.4349897693526,63.3237192668344,0.795,0.002
1,22.394289961318,13.4014656264489,59.9521622324605,0.716,0.002
2,23.2292369258365,12.6022025542231,70.8468958107564,0.694,0.002
3,22.3952795940007,12.4628705642614,66.2160601982616,0.651,0.002
4,20.9276377204062,12.4241927420804,56.6896331888388,0.627,0.002
5,21.0595743837307,12.4068466516148,57.6848515474398,0.612,0.002
6,23.4952107614441,12.4104664850209,73.8982951761551,0.584,0.002
7,22.7324029829906,12.438596289972,68.6253779534575,0.585,0.002
8,20.3953842297744,12.4426458566986,53.0182558205055,0.522,0.002
9,21.378955290866,12.4353246673257,59.6242041569359,0.552,0.002
10,20.8235234899494,12.4538535077016,55.7977998816523,0.497,0.002
11,21.6842834146417,12.4618241784498,61.4830615746122,0.489,0.002
12,21.1665513854292,12.48072412113,57.905515095328,0.522,0.002
13,21.3912785428651,12.4892370762683,59.3469431106453,0.493,0.002
14,21.1869233066926,12.5031724230762,57.8916725574425,0.483,0.002
15,20.8677527680123,12.5136450324862,55.6940515701735,0.469,0.002
16,21.1297030117375,12.5227983768255,57.379364232747,0.471,0.002
17,25.5012942081045,12.5359814613287,86.4354183118392,0.475,0.002
18,21.34502926636,12.5892461175872,58.3718876584856,0.464,0.002
19,20.531764884571,12.5626597601596,53.1273674960758,0.475,0.002
20,24.3052442471761,12.5660136840589,78.2615370874486,0.474,0.002
21,20.2942623508591,12.6090852114188,51.2345142629352,0.474,0.002
22,23.541005137585,12.5852255964468,73.038530274255,0.43,0.002
23,23.4671792047663,12.6212188127954,72.3064026131395,0.429,0.002
24,22.6431736048568,12.6313719720717,66.7453442185667,0.449,0.002
25,23.0796222585736,12.6334196703136,69.6413505883997,0.443,0.002
26,20.682435530251,12.6463631312961,53.5738159930328,0.41,0.002
27,19.7193943229347,12.6344571316558,47.2329146085263,0.434,0.002
28,22.6297295924912,12.6338930562877,66.6389102413565,0.421,0.002
29,21.3748132671229,12.6633203035118,58.0766197574072,0.389,0.002
30,21.9896690435619,12.6608159851308,62.1923537228741,0.403,0.002
31,24.9778187085456,12.6728324654911,82.0332416203631,0.372,0.002
32,21.8810197508832,12.7098416540634,61.1411873121317,0.403,0.002
33,21.3189316235995,12.6886862638377,57.534969065079,0.38,0.002
34,20.6937942370079,12.6897968077496,53.359982861722,0.367,0.002
35,21.7393760195368,12.6902214159319,60.3276973573659,0.398,0.002
36,33.1885140148512,12.7036792942484,136.565564804019,0.386,0.002
