"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,1796.27237138535,1796.27237138535,133668.901072591,0.915,0.005
1,1256.9605441234,1256.9605441234,156664.368604545,0.953,0.005
2,1210.75878297815,1210.75878297815,156020.254690312,0.956,0.005
3,1192.71139326206,1192.71139326206,154238.190806595,0.958,0.005
4,1184.47780116405,1184.47780116405,154346.029514678,0.97,0.005
5,1179.84510015875,1179.84510015875,153213.072386643,0.963,0.005
6,1176.6914950126,1176.6914950126,157604.984496796,0.976,0.005
7,1174.16180622633,1174.16180622633,153373.010072589,0.982,0.005
8,1171.86235402259,1171.86235402259,152811.228793254,0.982,0.005
9,1169.61379078238,1169.61379078238,155406.041642816,0.986,0.005
10,1167.34983346143,1167.34983346143,156493.90454417,0.981,0.005
11,1165.03332330492,1165.03332330492,153958.475863234,0.991,0.005
12,1162.59748753929,1162.59748753929,157767.321977154,0.991,0.005
13,1159.97296144278,1159.97296144278,150985.604357157,0.991,0.005
14,1157.21708731523,1157.21708731523,154654.343703461,0.994,0.005
15,1154.52434401708,1154.52434401708,153633.907502476,0.998,0.005
16,1152.06636327756,1152.06636327756,157963.441833982,0.992,0.005
17,1149.91130200066,1149.91130200066,153989.670829393,0.994,0.005
18,1148.04989529766,1148.04989529766,154580.046148056,0.991,0.005
19,1146.43930649237,1146.43930649237,154129.086179097,0.992,0.005
20,1145.02991817047,1145.02991817047,153033.410245109,0.986,0.005
21,1143.77619391567,1143.77619391567,157328.352552021,0.989,0.005
22,1142.6391806921,1142.6391806921,154540.728594097,0.989,0.005
23,1141.58569439578,1141.58569439578,156022.90682307,0.982,0.005
24,1140.58623347128,1140.58623347128,153328.152816569,0.981,0.005
25,1139.61213898577,1139.61213898577,154987.969984912,0.976,0.005
26,1138.63225644532,1138.63225644532,156379.569494895,0.979,0.005
27,1137.61071091279,1137.61071091279,158721.489700014,0.969,0.005
28,1136.51135657109,1136.51135657109,157748.154529831,0.966,0.005
29,1135.31563066436,1135.31563066436,153237.417104867,0.972,0.005
30,1134.04353000082,1134.04353000082,154592.763006698,0.951,0.005
31,1132.74919095168,1132.74919095168,152843.576401686,0.963,0.005
32,1131.49109627194,1131.49109627194,152178.067261941,0.949,0.005
33,1130.30753551183,1130.30753551183,156232.039713546,0.935,0.005
34,1129.21067046744,1129.21067046744,158058.075127007,0.942,0.005
35,1128.19207191885,1128.19207191885,155233.025594696,0.94,0.005
36,1127.2307372485,1127.2307372485,153029.977121287,0.932,0.005
37,1126.29934278491,1126.29934278491,159357.113728873,0.938,0.005
38,1125.3679977932,1125.3679977932,152646.252349917,0.922,0.005
39,1124.4060703378,1124.4060703378,159942.551853807,0.91,0.005
40,1123.38267712432,1123.38267712432,160714.407569855,0.905,0.005
41,1122.26584384608,1122.26584384608,155114.909451117,0.91,0.005
42,1121.02038083438,1121.02038083438,157342.577071932,0.914,0.005
43,1119.6084382512,1119.6084382512,155835.97120677,0.917,0.005
44,1118.00407297951,1118.00407297951,153596.127046658,0.894,0.005
45,1116.22286570638,1116.22286570638,159744.106427334,0.888,0.005
46,1114.33177170614,1114.33177170614,158735.547965565,0.88,0.005
47,1112.41571686206,1112.41571686206,157860.756805808,0.876,0.005
48,1110.53711567683,1110.53711567683,154459.642502808,0.876,0.005
49,1108.72304848069,1108.72304848069,155475.645289138,0.853,0.005
50,1106.97480819539,1106.97480819539,153328.761761676,0.86,0.005
