"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,23.2745582690327,23.2745582690327,45.2803705448892,0.664,0.006
1,16.5183820499368,16.5183820499368,54.2995791325385,0.657,0.006
2,15.782854709425,15.782854709425,54.7205694657707,0.69,0.006
3,15.5109751095358,15.5109751095358,54.8988111229291,0.684,0.006
4,15.3841308997013,15.3841308997013,54.9816655780788,0.676,0.006
5,15.3211405145729,15.3211405145729,55.0144452522035,0.659,0.006
6,15.2840566312231,15.2840566312231,55.0198495335339,0.681,0.006
7,15.2589157727767,15.2589157727767,55.0072328096957,0.678,0.006
8,15.2398536199204,15.2398536199204,54.9805095509941,0.668,0.006
9,15.2241081265989,15.2241081265989,54.9427438090716,0.676,0.006
10,15.2104556627099,15.2104556627099,54.896881553509,0.705,0.006
11,15.1984580782403,15.1984580782403,54.8455676220213,0.685,0.006
12,15.1879422893461,15.1879422893461,54.7909523558795,0.679,0.006
13,15.178756564351,15.178756564351,54.7345376051777,0.685,0.006
14,15.1707191479106,15.1707191479106,54.6770599701792,0.675,0.006
15,15.1635682133939,15.1635682133939,54.6182991577503,0.714,0.006
16,15.1567857606104,15.1567857606104,54.5565382988217,0.663,0.006
17,15.1492637428374,15.1492637428374,54.4875712544697,0.679,0.006
18,15.1394761980748,15.1394761980748,54.4058965942874,0.664,0.006
19,15.1273700248723,15.1273700248723,54.3133787190167,0.656,0.006
20,15.1148513626154,15.1148513626154,54.2196990833436,0.652,0.006
21,15.1034591473448,15.1034591473448,54.1310910363525,0.666,0.006
22,15.0935829751931,15.0935829751931,54.0489515624875,0.682,0.006
23,15.0849453190734,15.0849453190734,53.9727640168286,0.649,0.006
24,15.0772143707213,15.0772143707213,53.9016391214958,0.629,0.006
25,15.070499488698,15.070499488698,53.8348201544879,0.638,0.006
26,15.0649980275959,15.0649980275959,53.7719740910246,0.653,0.006
27,15.0606858037622,15.0606858037622,53.7132225561652,0.643,0.006
28,15.0574024321664,15.0574024321664,53.6588191995991,0.619,0.006
29,15.054944308811,15.054944308811,53.6088902944949,0.588,0.006
30,15.0531165272632,15.0531165272632,53.5633679294442,0.623,0.006
31,15.0517563296275,15.0517563296275,53.5220363799344,0.582,0.006
32,15.0507380235218,15.0507380235218,53.484602021538,0.607,0.006
33,15.0499687334771,15.0499687334771,53.4507457922982,0.607,0.006
34,15.0493813740044,15.0493813740044,53.4201526029434,0.599,0.006
35,15.0489279265185,15.0489279265185,53.3925245433627,0.598,0.006
36,15.0485740342251,15.0485740342251,53.3675853128201,0.624,0.006
37,15.0482949891693,15.0482949891693,53.3450807090096,0.631,0.006
38,15.0480728697306,15.0480728697306,53.3247776727497,0.612,0.006
39,15.0478945385762,15.0478945385762,53.3064629656756,0.597,0.006
40,15.0477502535278,15.0477502535278,53.2899418550415,0.597,0.006
41,15.0476327042668,15.0476327042668,53.2750368871653,0.611,0.006
42,15.0475363414607,15.0475363414607,53.2615867356686,0.623,0.006
43,15.0474569059787,15.0474569059787,53.2494450954959,0.614,0.006
44,15.0473910952806,15.0473910952806,53.2384796036703,0.593,0.006
45,15.0473363243787,15.0473363243787,53.2285707808363,0.604,0.006
46,15.0472905525436,15.0472905525436,53.2196109968626,0.614,0.006
47,15.0472521561758,15.0472521561758,53.2115034683977,0.59,0.006
48,15.0472198344554,15.0472198344554,53.2041612974218,0.631,0.006
49,15.0471925385372,15.0471925385372,53.197506558881,0.571,0.006
50,15.0471694178572,15.0471694178572,53.191469443554,0.611,0.006
