"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,162.132711999057,144.113024031064,180.196879679935,0.97,0.042
1,130.927941961589,51.3639399805456,795.640019810434,0.845,0.042
2,114.266393614091,47.0708848424391,671.955087716521,0.754,0.042
3,132.866342329371,45.2845726069229,875.817697224485,0.701,0.042
4,114.131640094843,44.3765198752515,697.551202195918,0.65,0.042
5,116.572534695775,43.8331287256342,727.39405970141,0.556,0.042
6,107.56805257932,43.4505745996968,641.174779796229,0.499,0.042
7,113.997323802349,43.1549445179487,708.423792844003,0.427,0.042
8,104.24476464592,42.9178605867682,613.269040591518,0.378,0.042
9,104.557238379283,42.7193161118764,618.379222674068,0.287,0.042
10,85.145930512282,42.5521375390065,425.937929732755,0.249,0.042
11,79.0920769361658,42.4091171264524,366.829598097134,0.227,0.042
12,81.03782599604,42.2834035932582,387.544224027818,0.178,0.042
13,83.6510518912646,42.1718922661976,414.791596250671,0.138,0.042
14,67.5190788741478,42.073491013013,254.455878611347,0.143,0.042
15,71.1597272757986,41.9859068790817,291.73820396717,0.091,0.042
16,59.5897395077578,41.9063767570443,176.833627507135,0.064,0.042
17,52.6523539694246,41.8344173024087,108.179366670159,0.052,0.042
