"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,26704.9163738937,13133.1996112075,27143.4335253724,0.94,0
1,32340.5584991861,8259.99221986282,48161.1325586465,0.836,0
2,24258.7164351595,8087.3713191851,32342.6902319487,0.678,0
3,24850.3533219829,8048.69617181589,33603.3143003341,0.498,0
4,21093.3818116736,8188.23220776124,25810.2992078248,0.296,0
5,23353.3001531816,8377.15355101332,29952.2932043365,0.167,0
6,18349.8796166661,8686.10946374336,19327.5403058455,0.076,0
7,16709.2916118207,9053.39799882156,15311.7872259983,0.021,0
8,13061.7645952218,9549.57765839661,7024.37387365045,0.006,0
9,12713.3379312523,10165.2006093742,5096.27464375616,0.001,0
