"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,217.631932347083,179.323663154752,191.541345961655,0.787,0.019
1,291.691782815725,64.7558957471966,1134.67943534264,0.672,0.019
2,234.406846129957,59.4040238885223,875.014111207171,0.57,0.019
3,232.726302209453,57.1610511873202,877.826255110666,0.494,0.019
4,210.974476503515,55.9990479491125,774.877142772012,0.399,0.019
5,176.149505815342,55.2991989540524,604.251534306447,0.305,0.019
6,184.927521355606,54.8099860612875,650.587676471592,0.195,0.019
7,179.558201504751,54.4352314612976,625.614850217267,0.129,0.019
8,130.788227094854,54.1307632587698,383.28731918042,0.087,0.019
9,86.8998104644785,53.8861180520354,165.068462062216,0.053,0.019
10,81.0170050899955,53.6867700830994,136.65117503448,0.009,0.019
