"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,48.5675333001727,33.4219065267036,30.2912535469382,0.652,0.084
1,77.2657924992371,12.1112732796867,130.309038439101,0.546,0.084
2,44.1375269664061,11.2213393488566,65.8323752350991,0.264,0.084
3,12.9610460390293,10.9291385758591,4.06381492634043,0.079,0.084
4,91.7904448767713,10.8195965397465,161.94169667405,0.007,0.084
5,60.7577804444199,10.5423697125869,100.430821463666,0.398,0.084
6,26.0310736900655,10.4295633356966,31.2030207087378,0.113,0.084
7,72.1126038953776,10.41462251231,123.395962766135,0.012,0.084
8,64.3572753312186,10.2535798233839,108.20739101567,0.464,0.084
9,33.0006466469912,10.1863485788195,45.6285961363434,0.158,0.084
10,56.1485650190812,10.2154091853458,91.8663116674707,0.017,0.084
11,64.7776939857018,10.1066244143937,109.342139142616,0.489,0.084
12,40.0198443299989,10.0608660935012,59.9179564729955,0.185,0.084
13,46.7662801257761,10.0937439608516,73.345072329849,0.033,0.084
14,71.7655428706219,10.0041063280823,123.522873085079,0.532,0.084
15,41.1776640077654,9.96576237977074,62.4238032559893,0.205,0.084
16,34.1530829325086,9.9984109495174,48.3093439659825,0.034,0.084
17,76.3477110727025,9.92049695372073,132.854428237964,0.568,0.084
18,43.3918893903107,9.8904039929538,67.0029707947137,0.242,0.084
19,20.6364671849315,9.92758055225316,21.4177732653566,0.043,0.084
20,70.3425451655331,9.86298800143667,120.959114328193,0.621,0.084
21,42.4490379178045,9.83461621492759,65.2288434057538,0.252,0.084
22,27.191473989757,9.87071791968584,34.6415121401423,0.051,0.084
23,85.539098334425,9.81446919867036,151.449258271509,0.579,0.084
24,46.1617543298744,9.79500317902913,72.7335023016906,0.287,0.084
25,18.2312554563518,9.82960739326959,16.8032961261643,0.055,0.084
26,76.0405115560566,9.78039135059365,132.520240410926,0.608,0.084
27,45.3313103990848,9.76100113093599,71.1406185362976,0.306,0.084
28,15.5367219512002,9.80010701138735,11.4732298796258,0.075,0.084
29,77.3813450813434,9.7561590753751,135.250372011937,0.606,0.084
30,55.5064376866851,9.73944812290509,91.5339791275601,0.305,0.084
31,11.7889197150199,9.78067981684885,4.01647979634204,0.068,0.084
32,78.2450029873034,9.73862293988987,137.012760094827,0.64,0.084
33,43.93402452426,9.7238516492795,68.4203457499609,0.317,0.084
34,9.88851789383074,9.76296151186592,0.251112763929641,0.076,0.084
35,71.4960937593571,9.72490195411689,123.54238361048,0.645,0.084
36,46.5633041767245,9.70946866181881,73.7076710298113,0.311,0.084
37,14.7779983207094,9.74569047827736,10.0646156848641,0.077,0.084
38,94.1383577617525,9.86645053088183,168.543814461741,0.004,0.084
39,59.0736308784999,9.71039429140251,98.7264731741949,0.486,0.084
40,27.6753921147973,9.69914836364815,35.9524875022983,0.128,0.084
41,65.3177431175155,9.78255552875277,111.070375177525,0.015,0.084
42,69.0802523269963,9.696836135188,118.766832383617,0.495,0.084
43,29.0158698118948,9.6789148382133,38.673909947363,0.17,0.084
44,54.370759693573,9.74697531374345,89.2475687596591,0.02,0.084
45,61.4821667596636,9.6843771470694,103.595579225188,0.518,0.084
46,36.195510855201,9.66325459484733,53.0645125207074,0.194,0.084
47,36.956728766836,9.72646713038284,54.4605232729064,0.025,0.084
48,61.7938926486877,9.67459286407249,104.23859956923,0.523,0.084
49,37.7075993545372,9.65295955608813,56.1092795968981,0.213,0.084
50,38.7546191978236,9.7117680940683,58.0857022075106,0.029,0.084
