"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,263.414672182456,187.233363983925,169.291795996736,0.824,0.049
1,455.121061475276,65.6897327231207,865.402952782567,0.944,0.049
2,462.849636175855,61.3180121118538,892.292497920002,0.973,0.049
3,513.244126285914,59.6529716590969,1007.98034361515,0.967,0.049
4,465.248166912856,58.6728985017681,903.500596469084,0.952,0.049
5,562.283769758918,57.918497258516,1120.81171666756,0.896,0.049
6,493.01049191435,57.2884920078363,968.271110903363,0.813,0.049
7,500.127008344674,56.7525149030473,985.276652092504,0.721,0.049
8,382.976110303691,56.2906043480305,725.96779101258,0.478,0.049
9,393.634024302868,55.9066761368124,750.505218146791,0.251,0.049
10,161.285094172048,55.6115267356773,234.830149858602,0.083,0.049
