"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,2161.53417071587,1796.27237138535,3652.61799330512,0.931,0.004
1,1796.32746584068,1269.88047016776,5264.46995672912,0.929,0.004
2,1594.58799367012,1225.89031623674,3686.97677433379,0.914,0.004
3,1560.52471333754,1209.65172015677,3508.7299318077,0.916,0.004
4,1648.81001875682,1206.78979182552,4420.20226931297,0.935,0.004
5,1542.27253656468,1198.31218711657,3439.60349448106,0.924,0.004
6,1581.74180701905,1194.1327763616,3876.09030657455,0.933,0.004
7,1719.50735959971,1192.92933677235,5265.78022827358,0.941,0.004
8,1637.1942129628,1191.77738364061,4454.16829322188,0.936,0.004
9,1659.22186515149,1192.08220054338,4671.39664608103,0.926,0.004
10,1620.51347530956,1191.14778656246,4293.65688747097,0.929,0.004
11,1567.31613026486,1189.20630476485,3781.09825500012,0.939,0.004
12,1532.21158649007,1186.64869033614,3455.62896153927,0.94,0.004
13,1591.00887388763,1185.4807990819,4055.28074805727,0.95,0.004
14,1490.2398800312,1189.98504112949,3002.54838901707,0.941,0.004
15,1507.77989623592,1184.66456097854,3231.15335257379,0.942,0.004
16,1609.12235990299,1183.79316480952,4253.29195093475,0.955,0.004
17,1638.71234138116,1183.17465705842,4555.3768432274,0.966,0.004
18,1523.4252232537,1179.39184381648,3440.3337943722,0.963,0.004
19,1718.2569456559,1180.76130412234,5374.95641533558,0.963,0.004
20,1628.81814282892,1175.66271062032,4531.55432208601,0.969,0.004
21,1676.85374617304,1174.06962507719,5027.84121095848,0.965,0.004
22,1560.00630755764,1175.1502427579,3848.56064799742,0.976,0.004
23,1519.79248553975,1172.84239212606,3469.50093413693,0.983,0.004
24,1501.9102733204,1173.08244944627,3288.27823874127,0.976,0.004
25,1630.13654212111,1170.16426120953,4599.72280911578,0.984,0.004
26,1714.22781437759,1168.90463502188,5453.23179355712,0.989,0.004
27,1600.2659655396,1168.2906351959,4319.75330343699,0.995,0.004
28,1535.54582261501,1165.94766284686,3695.98159768147,0.989,0.004
29,1552.19232404989,1164.40600335394,3877.86320695948,0.995,0.004
30,1561.15401517028,1167.59362713544,3935.60388034833,0.994,0.004
31,1482.47042305867,1164.17761130766,3182.92811751017,0.993,0.004
32,1562.115742825,1164.25519822568,3978.60544599319,0.997,0.004
33,1629.35325114614,1162.38464572816,4669.68605417978,0.991,0.004
34,1538.90766713593,1161.18005037021,3777.27616765718,0.991,0.004
35,1556.83752649694,1160.84844625748,3959.89080239459,0.984,0.004
36,1484.16455942178,1161.30320069077,3228.61358731007,0.987,0.004
37,1591.08733497841,1163.45548608494,4276.31848893469,0.982,0.004
38,1510.86289910188,1162.2885868436,3485.74312258278,0.973,0.004
39,1568.66922712567,1157.874631751,4107.94595374672,0.97,0.004
40,1598.06972742623,1159.80143029992,4382.68297126313,0.97,0.004
41,1547.86178827807,1159.1230056481,3887.38782629974,0.963,0.004
42,1567.15542275914,1158.51192747496,4086.43495284179,0.965,0.004
43,1538.15644850234,1165.61272926243,3725.43719239913,0.944,0.004
44,1610.7331954928,1157.15212988112,4535.81065611681,0.944,0.004
45,1547.49814229998,1155.51947037902,3919.78671920958,0.949,0.004
46,1524.88945848617,1151.39489093988,3734.94567546296,0.93,0.004
47,1537.63064829272,1152.37684463346,3852.53803659259,0.896,0.004
48,1497.15735071312,1147.69492997849,3494.62420734622,0.911,0.004
49,1508.8628236056,1145.96300559449,3628.99818011114,0.896,0.004
50,1508.53892692842,1150.16020160412,3583.78725324303,0.894,0.004
51,1538.34375521664,1149.97035773402,3883.73397482622,0.852,0.004
52,1519.99316370242,1142.87974473895,3771.13418963463,0.85,0.004
53,1620.46536110314,1142.21691465507,4782.48446448066,0.832,0.004
54,2157.30057152216,1145.33692614382,10119.6364537834,0.824,0.004
55,1505.39233227572,1142.03751858646,3633.5481368926,0.791,0.004
56,1524.1379341469,1143.32322742944,3808.14706717458,0.795,0.004
57,1488.56338954203,1141.1959394577,3473.67450084334,0.774,0.004
58,1461.47128529956,1141.36795268796,3201.03332611593,0.773,0.004
59,1791.94546599663,1139.99455003257,6519.5091596406,0.727,0.004
60,1504.648608988,1135.99271047868,3686.55898509329,0.743,0.004
61,1548.20926744333,1137.99307062028,4102.16196823048,0.675,0.004
62,1462.95597447417,1134.54196571335,3284.14008760828,0.715,0.004
63,1463.8492730592,1132.1198246703,3317.29448388893,0.683,0.004
64,1413.81550362877,1129.75965848975,2840.55845139017,0.655,0.004
65,1430.45971400559,1127.39977053171,3030.5994347388,0.648,0.004
66,1531.62395020759,1126.99084655429,4046.33103653299,0.629,0.004
67,1557.60298111913,1128.7319016086,4288.71079510535,0.59,0.004
68,1492.06065326125,1120.47776773624,3715.82885525008,0.551,0.004
69,1457.65084194774,1120.69271830948,3369.58123638265,0.524,0.004
70,1520.68586286479,1117.83029148481,4028.55571379982,0.542,0.004
71,1455.00604422423,1118.34652016924,3366.59524054996,0.5,0.004
72,1479.95703145026,1116.67698218575,3632.80049264514,0.44,0.004
73,1533.16516185852,1119.53290176341,4136.32260095116,0.452,0.004
74,1623.52367128317,1118.23324598024,5052.90425302927,0.44,0.004
75,1459.88700341276,1117.87708747856,3420.09915934198,0.402,0.004
76,1554.18450805022,1119.14658037007,4350.37927680154,0.36,0.004
77,1394.16502740326,1123.10160326826,2710.63424134994,0.368,0.004
78,1513.4479367386,1125.67622525808,3877.71711480517,0.374,0.004
79,1491.90201772025,1122.53207885535,3693.699388649,0.35,0.004
80,1455.69472984487,1126.56078881277,3291.33941032104,0.304,0.004
